                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                      0,                 1.9558,                 3.5757,                 1.6951,                0.00523,                0.93548,                0.01209,                0.00554,                 1.5075,                 3.3656,                 1.4366,                  0.091,                  0.001,                  0.001
                      1,                 1.6239,                 3.0314,                 1.4934,                0.00532,                0.95161,                0.02677,                0.01508,                 1.1835,                 3.1687,                 1.2384,               0.081058,              0.0020584,              0.0020584
                      2,                 1.6341,                 1.9928,                  1.518,                0.96418,                0.67742,                0.79638,                0.45388,                 1.1972,                 2.7359,                 1.3203,               0.071073,              0.0030733,              0.0030733
                      3,                 1.5329,                 1.4978,                 1.4145,                0.00559,                      1,                0.79594,                0.49827,                 1.1934,                 2.6866,                 1.3307,               0.061045,              0.0040446,              0.0040446
                      4,                 1.5097,                 1.4137,                 1.4281,                      1,                0.47253,                0.87891,                0.45558,                 1.3641,                  2.473,                 1.4345,               0.050972,              0.0049723,              0.0049723
                      5,                 1.4634,                 1.2805,                 1.3932,                0.97863,                0.73854,                0.87195,                0.52811,                 1.1769,                  2.381,                 1.3257,               0.040857,              0.0058565,              0.0058565
                      6,                 1.3748,                 1.1651,                 1.3221,                      1,                0.10116,                 0.8742,                0.52558,                 1.2319,                 2.4185,                 1.3871,               0.030697,              0.0066971,              0.0066971
                      7,                 1.4322,                 1.1605,                  1.344,                0.97415,                0.79032,                0.89254,                0.51688,                 1.2858,                 1.8012,                  1.396,               0.020494,              0.0074942,              0.0074942
                      8,                 1.4764,                 1.1771,                    1.4,                      1,                0.69168,                0.87729,                0.51103,                 1.4039,                 1.9882,                 1.4408,               0.010248,              0.0082477,              0.0082477
                      9,                 1.4618,                 1.1365,                 1.3329,                0.96269,                0.83233,                0.91344,                0.56862,                 1.3179,                 1.2991,                 1.4087,               0.008218,               0.008218,               0.008218
                     10,                 1.3517,                 1.1208,                 1.2999,                0.94571,                0.84296,                0.93204,                0.62357,                 1.1839,                 1.1472,                 1.3229,               0.008218,               0.008218,               0.008218
                     11,                 1.3508,                 1.0256,                 1.2921,                0.90999,                0.83871,                0.90902,                0.58067,                 1.3723,                 1.0087,                 1.4048,                0.00802,                0.00802,                0.00802
                     12,                 1.3803,                 1.0123,                 1.3014,                 0.9542,                0.80645,                0.91324,                0.52246,                 1.4973,                 0.9912,                 1.5129,               0.007822,               0.007822,               0.007822
                     13,                 1.3958,                 1.0287,                 1.2895,                0.94344,                0.82258,                0.91432,                0.59334,                 1.3381,                 1.0242,                 1.4183,               0.007624,               0.007624,               0.007624
                     14,                 1.3809,                 1.0128,                 1.2831,                0.94521,                0.83478,                0.90871,                0.59599,                 1.2918,                 1.1217,                 1.3718,               0.007426,               0.007426,               0.007426
                     15,                 1.2929,                 1.0068,                 1.2712,                0.92979,                0.85436,                0.91681,                0.60852,                 1.3264,                 1.0762,                 1.4034,               0.007228,               0.007228,               0.007228
                     16,                 1.3224,                 1.0155,                 1.2475,                 0.9318,                0.88157,                0.93552,                0.63359,                 1.2903,                 1.2753,                  1.422,                0.00703,                0.00703,                0.00703
                     17,                 1.2419,                0.95713,                 1.2336,                0.96903,                0.87097,                0.94574,                 0.6385,                 1.2409,                 1.0571,                 1.3451,               0.006832,               0.006832,               0.006832
                     18,                 1.3063,                0.95805,                 1.2924,                0.94703,                 0.8652,                0.93141,                0.64522,                 1.1594,                 1.1494,                 1.2912,               0.006634,               0.006634,               0.006634
                     19,                 1.2655,                0.92877,                  1.209,                0.98161,                0.87097,                0.94259,                0.60592,                 1.2142,                 1.1618,                 1.3352,               0.006436,               0.006436,               0.006436
                     20,                 1.2364,                0.89655,                 1.2392,                      1,                0.84779,                0.94684,                 0.6435,                 1.1817,                0.90193,                 1.2975,               0.006238,               0.006238,               0.006238
