                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                     21,                 1.2667,                0.88132,                 1.2207,                0.98201,                0.88072,                0.95562,                0.66091,                 1.1828,                 0.8606,                 1.3402,                0.00604,                0.00604,                0.00604
                     22,                 1.2499,                0.85845,                 1.1919,                0.98179,                 0.8871,                0.95369,                0.66462,                 1.1926,                0.85352,                 1.3728,               0.005842,               0.005842,               0.005842
                     23,                 1.2535,                0.84216,                 1.2238,                0.96656,                0.90323,                0.96407,                0.64178,                 1.1827,                0.85579,                 1.3352,               0.005644,               0.005644,               0.005644
                     24,                 1.2347,                0.83598,                 1.2165,                      1,                0.91835,                0.96928,                0.66571,                 1.1345,                0.80159,                 1.2581,               0.005446,               0.005446,               0.005446
                     25,                 1.2287,                0.86006,                 1.2387,                0.94854,                0.89191,                0.94849,                0.64498,                 1.2883,                0.95887,                 1.3914,               0.005248,               0.005248,               0.005248
                     26,                 1.2341,                0.80415,                 1.1881,                      1,                0.90058,                0.95994,                0.65922,                  1.269,                0.90717,                 1.3751,                0.00505,                0.00505,                0.00505
                     27,                 1.1916,                  0.807,                 1.1912,                      1,                0.89948,                0.96153,                0.67114,                 1.2613,                0.87411,                 1.3317,               0.004852,               0.004852,               0.004852
                     28,                 1.1721,                0.77281,                 1.1647,                0.91858,                0.96774,                0.96008,                0.65358,                 1.1873,                0.75144,                 1.2917,               0.004654,               0.004654,               0.004654
                     29,                 1.1743,                0.74855,                 1.1737,                0.95136,                0.94643,                0.95955,                0.64297,                 1.2867,                0.82229,                  1.307,               0.004456,               0.004456,               0.004456
                     30,                  1.147,                0.76638,                 1.1751,                0.96651,                 0.9311,                0.96116,                 0.6601,                 1.2386,                0.80047,                 1.2993,               0.004258,               0.004258,               0.004258
                     31,                 1.1305,                0.72453,                 1.1462,                0.96707,                0.94733,                0.95969,                0.68072,                 1.1834,                0.71357,                 1.2474,                0.00406,                0.00406,                0.00406
                     32,                 1.0825,                0.72512,                 1.1284,                0.98331,                   0.95,                0.96098,                0.68155,                 1.1879,                0.72206,                 1.2684,               0.003862,               0.003862,               0.003862
                     33,                 1.1145,                0.71656,                 1.1384,                0.97865,                0.93548,                0.96212,                0.68818,                 1.1663,                0.74429,                 1.2291,               0.003664,               0.003664,               0.003664
                     34,                 1.0795,                0.72747,                 1.1475,                0.96068,                0.93548,                0.95911,                0.67244,                  1.166,                0.77219,                 1.2256,               0.003466,               0.003466,               0.003466
                     35,                 1.1019,                 0.7231,                 1.1276,                0.96391,                0.91935,                0.95878,                0.68464,                 1.0897,                0.69476,                 1.2016,               0.003268,               0.003268,               0.003268
                     36,                 1.0619,                0.65955,                 1.1202,                0.95018,                0.92288,                0.95788,                0.67811,                 1.1282,                0.71176,                 1.2269,                0.00307,                0.00307,                0.00307
                     37,                 1.1015,                0.71076,                 1.1648,                      1,                0.90158,                0.96036,                0.67388,                 1.1783,                0.74887,                 1.2445,               0.002872,               0.002872,               0.002872
                     38,                 1.0663,                0.68774,                 1.1271,                      1,                0.91383,                 0.9637,                0.68691,                 1.1675,                0.71289,                 1.2449,               0.002674,               0.002674,               0.002674
                     39,                 1.0679,                0.67861,                 1.1073,                0.99641,                0.91935,                0.96484,                0.68134,                 1.1187,                0.67735,                 1.2516,               0.002476,               0.002476,               0.002476
                     40,                  1.048,                 0.6572,                 1.1126,                0.96245,                0.95161,                0.96613,                0.68416,                 1.1003,                0.65018,                 1.2354,               0.002278,               0.002278,               0.002278
                     41,                 1.0426,                0.64949,                 1.0909,                0.96715,                0.94962,                0.96302,                0.67261,                 1.1625,                0.65575,                 1.2724,                0.00208,                0.00208,                0.00208
                     42,                 1.0277,                0.65274,                  1.096,                0.97981,                0.93548,                0.96295,                0.68229,                 1.1458,                0.65215,                 1.2566,               0.001882,               0.001882,               0.001882
                     43,                  1.005,                0.63646,                 1.0779,                 0.9804,                0.91935,                0.95773,                0.68572,                 1.1526,                0.68788,                 1.2467,               0.001684,               0.001684,               0.001684
                     44,                 1.0171,                0.66127,                 1.1084,                0.98035,                0.91935,                0.95584,                0.68944,                 1.1167,                0.68509,                 1.2292,               0.001486,               0.001486,               0.001486
                     45,                0.97672,                  0.613,                 1.0548,                0.98005,                0.91935,                0.95313,                0.67419,                 1.1253,                 0.6875,                 1.2426,               0.001288,               0.001288,               0.001288
                     46,                 1.0351,                0.63803,                 1.1271,                0.98136,                0.91935,                 0.9577,                0.68926,                  1.108,                0.67462,                 1.2373,                0.00109,                0.00109,                0.00109
                     47,                0.98594,                0.61946,                 1.0756,                0.96698,                0.94473,                0.95727,                0.69371,                 1.0877,                0.65758,                 1.2179,               0.000892,               0.000892,               0.000892
                     48,                0.95759,                0.63761,                 1.1076,                0.96705,                0.94689,                0.95796,                0.69428,                 1.0838,                0.65273,                 1.2123,               0.000694,               0.000694,               0.000694
                     49,                0.99815,                0.62809,                 1.0804,                0.98299,                0.93224,                0.95882,                0.69379,                 1.0743,                0.64531,                 1.2079,               0.000496,               0.000496,               0.000496
