Waypoints
Date,Name,Latitude,Longitude,Altitude (m),Notes
2023-09-15 09:25:30.71,15 Sep 2023 at 5:25 pm,14.634686,121.074877,53.9300201786682,"Horizontal Accuracy: ± 8 m
Vertical Accuracy: ± 3 m"
2023-09-15 09:26:05.58,15 Sep 2023 at 5:26 pm,14.634686,121.074835,55.33390252478421,"Horizontal Accuracy: ± 5 m
Vertical Accuracy: ± 3 m"
2023-09-15 09:26:58.69,15 Sep 2023 at 5:26 pm,14.634793,121.076148,56.77485846541822,"Horizontal Accuracy: ± 5 m
Vertical Accuracy: ± 3 m"
2023-09-15 09:28:47.05,15 Sep 2023 at 5:28 pm,14.637662,121.076383,58.48841483239084,"Horizontal Accuracy: ± 5 m
Vertical Accuracy: ± 3 m"
2023-09-15 09:29:39.50,15 Sep 2023 at 5:29 pm,14.637848,121.074969,58.03741451445967,"Horizontal Accuracy: ± 5 m
Vertical Accuracy: ± 3 m"
2023-09-15 09:31:53.54,15 Sep 2023 at 5:31 pm,14.640952,121.076248,61.27716573234648,"Horizontal Accuracy: ± 19 m
Vertical Accuracy: ± 3 m"

Track
Date(GMT),Date(Local),Time(sec),Latitude,Longitude,Horizontal Accuracy(m),Altitude(m),Vertical Accuracy(m),Distance(m),Speed(m/s),Average Speed(m/s),Course(deg),True Heading(deg),Magnetic Heading(deg),Heading Accuracy(deg),Glide Ratio,Heart Rate (bpm)
2023-09-15 09:08:08.99,2023-09-15 17:08:08.99,0,14.634754,121.076282,3.535533905932737,67.04949569702148,3,0,0,0,72.421875,74.77354431152344,77.47995758056641,12.65771484375,-120.8236567287344,0
2023-09-15 09:08:09.99,2023-09-15 17:08:09.99,0,14.634758,121.076289,3.535533905932737,67.11400985717773,3,0,0.5099999904632568,0,62.2265625,72.74730682373047,75.45372009277344,12.6658411026001,-91.00594725215443,0
2023-09-15 09:08:10.99,2023-09-15 17:08:10.99,1.02459990978241,14.634763,121.076297,3.535533905932737,66.92504501342773,3,1.00997682136081,0.9300000071525574,0.1967258147316967,59.765625,62.70515060424805,65.41156768798828,12.689697265625,-75.41848593208961,0
2023-09-15 09:08:12.00,2023-09-15 17:08:12.00,2.024625897407532,14.634772,121.076306,3.535533905932737,66.15044784545898,3,2.465803312970513,1.710000038146973,0.1967258147316967,48.1640625,54.07675170898438,56.78316879272461,12.70698165893555,-61.24464547771009,0
2023-09-15 09:08:13.00,2023-09-15 17:08:13.00,3.02442991733551,14.634788,121.076318,3.535533905932737,65.84301376342773,3,4.587315666577334,1.710000038146973,0.1967258147316967,37.96875,43.62062835693359,46.32704544067383,12.73065280914307,-49.03090450304814,0
2023-09-15 09:08:14.00,2023-09-15 17:08:14.00,4.033536911010742,14.634809,121.076330,3.535533905932737,64.82384872436523,3,7.240147836426747,2.130000114440918,0.1967258147316967,28.828125,33.0722541809082,35.77867126464844,12.74783897399902,-38.62470566446146,0
2023-09-15 09:08:15.00,2023-09-15 17:08:15.00,5.033122897148132,14.634834,121.076339,3.535533905932737,63.73424911499023,3,10.22787107952511,2.970000028610229,0.1967258147316967,18.6328125,20.85904121398926,23.56545829772949,12.76174449920654,-28.8136273009652,0
2023-09-15 09:08:16.00,2023-09-15 17:08:16.00,6.029311895370483,14.634867,121.076344,3.535533905932737,64.37652206420898,3,13.88714652105721,3.809999942779541,2.363011838758361,8.7890625,12.61647605895996,15.3228931427002,12.77336120605469,-22.79975078397945,0
2023-09-15 09:08:17.00,2023-09-15 17:08:17.00,7.032469987869263,14.634907,121.076344,3.535533905932737,64.75933456420898,3,18.26983434168093,3.809999942779541,2.363011838758361,2.109375,16.2682933807373,18.97471046447754,12.77888679504395,-21.01893616368735,0
2023-09-15 09:08:18.00,2023-09-15 17:08:18.00,8.032332897186279,14.634946,121.076341,3.535533905932737,64.85705184936523,3,22.62540712280042,3.809999942779541,2.363011838758361,356.484375,20.63525772094727,23.3416748046875,12.79323291778564,-17.63700769858436,0
2023-09-15 09:08:19.00,2023-09-15 17:08:19.00,9.031634926795959,14.634980,121.076338,4.612904719929345,64.85705295205116,3.541983494829191,26.43545479984052,3.809999942778853,2.363011838758361,356.4843744520641,23.31131172180176,26.01772880554199,12.80718326568604,-51.81841670839809,0
2023-09-15 09:08:20.00,2023-09-15 17:08:20.00,10.03115093708038,14.635026,121.076324,4.705707717638566,59.73138156533241,3.417726131354834,31.67402813168476,3.809999942778853,2.363011838758361,353.6718740151161,15.97372627258301,18.68014335632324,12.81151008605957,40.32622695597853,0
2023-09-15 09:08:21.00,2023-09-15 17:08:21.00,11.04110193252563,14.635039,121.076311,4.633987645515678,60.20843189861625,3.514355635674469,33.68574810483583,2.970000028609904,4.100107983902302,347.3437484738346,8.415989875793457,11.12240695953369,12.81340312957764,12.79829712309766,0
2023-09-15 09:08:22.00,2023-09-15 17:08:22.00,12.03200590610504,14.635055,121.076308,4.612904622889041,61.53777760174125,3.541983621209694,35.54097832038798,2.970000028609904,4.100107983902302,348.3984360991901,11.65035343170166,14.35677051544189,12.8217830657959,-41.85064779984247,0
2023-09-15 09:08:23.00,2023-09-15 17:08:23.00,13.03105592727661,14.635076,121.076301,4.612904591088507,62.04491849150509,3.541983662625142,37.96542302163152,2.450000047683533,4.100107983902302,345.9374986038578,14.53019905090332,17.23661613464355,12.82948970794678,-8.886271036757442,0
