                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                      0,                0.94707,                 3.0503,                 1.1891,                0.00359,                0.83923,                0.27298,                0.21931,                0.77128,                 3.2518,                0.92745,                 0.0928,                 0.0008,                 0.0008
                      1,                0.88688,                 2.8622,                 1.1342,                0.00406,                0.93603,                0.39628,                0.31033,                0.68943,                 3.1566,                0.87468,               0.084666,              0.0016663,              0.0016663
                      2,                0.87709,                 2.6606,                  1.098,                 0.0042,                0.98148,                0.44612,                0.33347,                0.72005,                 3.0488,                0.88068,               0.076497,               0.002497,               0.002497
                      3,                0.92673,                 2.1701,                  1.098,                0.00416,                0.98148,                0.49797,                 0.3486,                0.84952,                 2.9219,                0.93111,               0.068292,              0.0032921,              0.0032921
                      4,                0.90334,                 1.7628,                 1.1002,                0.80453,                0.42707,                0.62297,                0.54014,                0.68795,                 2.4846,                0.85157,               0.060052,              0.0040515,              0.0040515
                      5,                0.88118,                 1.5428,                 1.0582,                0.49796,                0.38715,                0.58241,                0.52039,                0.66902,                 2.5894,                0.88296,               0.051775,              0.0047753,              0.0047753
                      6,                0.92206,                 1.4589,                 1.1112,                0.90577,                0.50168,                0.62903,                0.54184,                0.73778,                 2.3864,                0.92029,               0.043463,              0.0054634,              0.0054634
                      7,                0.87279,                 1.3122,                 1.0773,                0.89066,                0.56437,                0.73644,                0.58827,                0.77276,                   2.23,                0.96767,               0.035116,              0.0061159,              0.0061159
                      8,                0.85903,                 1.2623,                 1.0682,                0.75888,                0.59232,                0.77029,                0.61809,                0.85283,                 2.1064,                0.98002,               0.026733,              0.0067328,              0.0067328
                      9,                0.93755,                 1.2252,                 1.0861,                0.71811,                0.61045,                0.82248,                0.65997,                0.80335,                 1.9816,                0.97926,               0.018314,               0.007314,               0.007314
                     10,                0.99672,                 1.3824,                 1.1188,                0.84935,                0.68687,                 0.8401,                0.68665,                0.74291,                 1.9984,                0.96085,              0.0098596,              0.0078596,              0.0078596
                     11,                0.91938,                 1.2536,                 1.0796,                0.81097,                0.62736,                0.82348,                0.65474,                0.79144,                 1.9695,                0.98271,               0.007822,               0.007822,               0.007822
                     12,                 0.9574,                 1.2478,                 1.1168,                 0.8844,                0.80785,                0.88612,                0.67751,                0.76462,                 1.8669,                0.99149,               0.007822,               0.007822,               0.007822
                     13,                0.91388,                 1.1725,                 1.0784,                0.85462,                 0.8454,                 0.8656,                0.69132,                0.73836,                 1.4403,                0.94234,               0.007624,               0.007624,               0.007624
                     14,                0.93114,                 1.1928,                 1.1298,                0.90666,                0.84571,                0.91617,                0.72964,                0.76969,                  1.364,                0.93748,               0.007426,               0.007426,               0.007426
                     15,                0.93863,                 1.1525,                 1.1005,                 0.8934,                0.85774,                0.91899,                 0.7444,                0.74267,                 1.1458,                0.96988,               0.007228,               0.007228,               0.007228
                     16,                0.91245,                 1.1504,                 1.1074,                0.84682,                0.89433,                0.90749,                0.72606,                0.73251,                 1.2178,                 0.9338,                0.00703,                0.00703,                0.00703
                     17,                0.87878,                  1.086,                 1.0768,                0.83803,                0.84266,                0.88199,                0.66952,                0.85517,                  1.415,                0.98592,               0.006832,               0.006832,               0.006832
                     18,                0.90554,                 1.0923,                  1.084,                0.87388,                0.75331,                0.87064,                0.64251,                0.98121,                 1.5555,                 1.1652,               0.006634,               0.006634,               0.006634
                     19,                0.87594,                 1.1015,                 1.0933,                0.86478,                0.75963,                 0.8799,                0.64194,                  1.012,                 1.4428,                 1.2817,               0.006436,               0.006436,               0.006436
                     20,                0.91127,                 1.1093,                 1.1063,                0.94253,                0.85808,                0.93016,                0.68988,                0.86045,                 1.2559,                 1.0354,               0.006238,               0.006238,               0.006238
                     21,                0.85628,                 1.0299,                 1.0969,                0.89171,                0.88371,                0.91848,                 0.6824,                0.84997,                 1.2332,                0.99973,                0.00604,                0.00604,                0.00604
                     22,                0.83447,                 1.0188,                  1.082,                0.92531,                0.86528,                0.94965,                0.75843,                 0.7915,                 1.1781,                0.98501,               0.005842,               0.005842,               0.005842
                     23,                0.92494,                 1.1275,                  1.104,                0.90483,                0.89871,                0.96319,                0.73867,                0.83246,                 1.1439,                0.98509,               0.005644,               0.005644,               0.005644
                     24,                 0.8949,                 1.0854,                  1.101,                0.96108,                0.87019,                0.95156,                0.76526,                0.75173,                 1.0267,                0.93726,               0.005446,               0.005446,               0.005446
                     25,                0.83635,                 1.0135,                   1.06,                0.92017,                0.90605,                0.94772,                0.74644,                0.80758,                 1.0679,                0.97101,               0.005248,               0.005248,               0.005248
                     26,                0.83552,                0.98085,                 1.0416,                0.95907,                0.92029,                0.95833,                0.74563,                0.87335,                 1.0501,                0.98649,                0.00505,                0.00505,                0.00505
                     27,                0.85551,                 1.0249,                    1.1,                0.95515,                0.88137,                0.93441,                0.76654,                0.75455,                 1.0527,                 0.9457,               0.004852,               0.004852,               0.004852
                     28,                0.83567,                0.97269,                  1.069,                0.97819,                0.90904,                0.95339,                0.78028,                0.75862,                 1.0048,                0.95211,               0.004654,               0.004654,               0.004654
                     29,                0.86531,                0.96956,                 1.0752,                0.98726,                0.94085,                0.97533,                0.77745,                0.73624,                0.90695,                0.93797,               0.004456,               0.004456,               0.004456
                     30,                0.78947,                0.91472,                 1.0711,                0.96677,                0.94642,                0.97449,                 0.7685,                0.76512,                0.91454,                 0.9356,               0.004258,               0.004258,               0.004258
                     31,                0.86223,                0.99918,                  1.074,                0.91749,                0.92519,                0.96064,                 0.7749,                0.74998,                0.90146,                0.93353,                0.00406,                0.00406,                0.00406
                     32,                0.82941,                0.92678,                 1.0694,                0.93414,                0.89691,                0.95594,                0.77603,                0.69026,                0.89383,                0.91883,               0.003862,               0.003862,               0.003862
                     33,                0.85921,                0.97564,                  1.066,                 0.8899,                0.91653,                0.95409,                0.76669,                0.75424,                0.92383,                0.97413,               0.003664,               0.003664,               0.003664
                     34,                0.76315,                0.87313,                 1.0376,                0.94156,                0.89899,                0.96439,                0.77527,                 0.7684,                0.92222,                0.97552,               0.003466,               0.003466,               0.003466
                     35,                0.79798,                0.90093,                 1.0237,                0.88479,                0.91751,                0.96007,                0.77363,                0.77035,                0.96482,                 0.9594,               0.003268,               0.003268,               0.003268
                     36,                0.75278,                0.89478,                 1.0439,                0.94069,                0.94024,                0.96763,                0.80094,                0.71199,                0.90855,                0.93863,                0.00307,                0.00307,                0.00307
                     37,                0.76447,                0.84283,                 1.0587,                 0.9942,                0.87869,                0.96937,                0.79128,                0.71243,                0.87095,                0.93398,               0.002872,               0.002872,               0.002872
                     38,                0.75749,                0.86649,                 1.0179,                 0.9342,                0.96296,                0.97326,                0.79276,                0.71046,                0.84515,                0.93974,               0.002674,               0.002674,               0.002674
                     39,                0.70834,                0.87096,                 1.0183,                0.94614,                0.95537,                0.97646,                0.80687,                0.69793,                0.83584,                0.93049,               0.002476,               0.002476,               0.002476
                     40,                0.72155,                0.84922,                 1.0337,                0.95307,                0.95128,                0.98339,                0.82295,                0.70785,                0.81794,                0.92571,               0.002278,               0.002278,               0.002278
                     41,                0.75794,                 0.8812,                 1.0422,                0.97808,                0.97898,                0.98557,                0.82648,                0.71667,                0.81041,                 0.9214,                0.00208,                0.00208,                0.00208
                     42,                 0.6848,                0.77451,                 1.0081,                0.98114,                0.96888,                 0.9875,                0.84038,                0.67746,                0.78167,                0.91187,               0.001882,               0.001882,               0.001882
                     43,                0.72211,                0.80077,                 1.0018,                  0.979,                0.94886,                0.99048,                0.83864,                0.69034,                0.77312,                 0.9209,               0.001684,               0.001684,               0.001684
                     44,                 0.7325,                0.78815,                  1.019,                      1,                0.96629,                0.99227,                0.83641,                0.68841,                 0.7626,                0.92478,               0.001486,               0.001486,               0.001486
                     45,                0.67775,                 0.8049,                0.98893,                 0.9983,                0.96122,                0.98923,                0.84008,                0.66476,                 0.7448,                0.92093,               0.001288,               0.001288,               0.001288
                     46,                0.70015,                0.79689,                 1.0056,                0.99409,                0.95243,                0.98832,                0.84248,                0.64214,                0.73537,                0.91278,                0.00109,                0.00109,                0.00109
                     47,                0.66803,                 0.7617,                 1.0109,                0.99118,                0.94144,                0.98704,                0.83886,                0.64172,                0.73437,                0.90982,               0.000892,               0.000892,               0.000892
                     48,                0.71552,                0.79876,                 1.0346,                0.98603,                0.92593,                 0.9849,                0.84503,                 0.6554,                0.73506,                0.90723,               0.000694,               0.000694,               0.000694
                     49,                 0.6731,                0.74235,                 1.0026,                0.98692,                0.92593,                0.98401,                0.84744,                0.65962,                0.73082,                0.90613,               0.000496,               0.000496,               0.000496
